image_id,ann_id,category_id,category,bbox_xywh,area,gt_width,gt_height,matched_status,failure_type,formal_tp_prediction_id,highest_prediction_score,best_iou,best_candidate_score,iou_ge_025_candidate,iou_ge_050_candidate,best_candidate_prediction_id,best_candidate_bbox_xywh,pred_width_over_gt_width,pred_height_over_gt_height,sqrt_pred_area_over_gt_area,prediction_fpn_level
2,27,0,person,"[331.0, 231.0, 6.0, 10.0]",60.0,6.0,10.0,FN,B,,0.5439088940620422,0.49949933342012903,0.4334874451160431,True,False,167,"[330.4508056640625, 228.51693725585938, 9.021392822265625, 13.315048217773438]",1.5035654703776042,1.3315048217773438,1.4149221440297342,UNKNOWN_POST_NMS
3,35,0,person,"[320.0, 217.0, 4.0, 10.0]",40.0,4.0,10.0,FN,B,,0.5074129700660706,0.32468134152590883,0.22635652124881744,True,False,261,"[317.47418212890625, 214.54525756835938, 8.73443603515625, 14.104827880859375]",2.1836090087890625,1.4104827880859374,1.754976616028364,UNKNOWN_POST_NMS
4,45,0,person,"[320.0, 215.0, 4.0, 11.0]",44.0,4.0,11.0,FN,A,,0.5996859073638916,0.22972151598741658,0.4347136616706848,False,False,331,"[321.05352783203125, 213.09898376464844, 8.6046142578125, 15.050094604492188]",2.151153564453125,1.368190418590199,1.715572119090573,UNKNOWN_POST_NMS
7,67,0,person,"[323.0, 224.0, 5.0, 9.0]",45.0,5.0,9.0,FN,B,,0.5415505766868591,0.33482497269541506,0.318008154630661,True,False,569,"[319.7641906738281, 221.6132354736328, 10.499298095703125, 12.80072021484375]",2.099859619140625,1.42230224609375,1.7281883730615935,UNKNOWN_POST_NMS
8,74,0,person,"[317.0, 214.0, 5.0, 12.0]",60.0,5.0,12.0,FN,B,,0.5586416721343994,0.27105423600971484,0.24431663751602173,True,False,644,"[315.2593078613281, 213.74935913085938, 12.522918701171875, 17.676223754882812]",2.504583740234375,1.4730186462402344,1.9207546825233413,UNKNOWN_POST_NMS
9,80,0,person,"[294.0, 282.0, 5.0, 11.0]",55.0,5.0,11.0,FN,B,,0.5581359267234802,0.453007867929732,0.5581359267234802,True,False,699,"[291.7585754394531, 280.0929260253906, 9.209503173828125, 13.183197021484375]",1.841900634765625,1.1984724564985796,1.4857547504126822,UNKNOWN_POST_NMS
16,133,0,person,"[274.0, 50.0, 5.0, 12.0]",60.0,5.0,12.0,FN,B,,0.533720076084137,0.40803630565728805,0.3912365138530731,True,False,1242,"[269.7777099609375, 47.165523529052734, 9.57635498046875, 14.185104370117188]",1.91527099609375,1.1820920308430989,1.5046682629029384,UNKNOWN_POST_NMS
17,140,0,person,"[255.0, 20.0, 6.0, 10.0]",60.0,6.0,10.0,FN,A,,0.4897853136062622,0.21176065284556012,0.31913474202156067,False,False,1326,"[256.40478515625, 12.162566184997559, 10.769805908203125, 18.84458827972412]",1.7949676513671875,1.8844588279724122,1.8391690070637345,UNKNOWN_POST_NMS
17,141,0,person,"[260.0, 14.0, 5.0, 12.0]",60.0,5.0,12.0,FN,B,,0.4897853136062622,0.2956355935314314,0.31913474202156067,True,False,1326,"[256.40478515625, 12.162566184997559, 10.769805908203125, 18.84458827972412]",2.153961181640625,1.5703823566436768,1.8391690070637345,UNKNOWN_POST_NMS
24,188,0,person,"[217.0, 47.0, 6.0, 9.0]",54.0,6.0,9.0,FN,B,,0.6226179599761963,0.41429666320148095,0.44846999645233154,True,False,1820,"[217.8266143798828, 44.55934524536133, 8.056365966796875, 13.026325225830078]",1.3427276611328125,1.4473694695366754,1.3940670796722874,UNKNOWN_POST_NMS
26,199,0,person,"[349.0, 477.0, 7.0, 9.0]",63.0,7.0,9.0,FN,B,,0.5945602059364319,0.4485600660320536,0.45030897855758667,True,False,1976,"[347.84515380859375, 475.37030029296875, 11.394378662109375, 12.326202392578125]",1.6277683803013392,1.3695780436197917,1.493102753918586,UNKNOWN_POST_NMS
26,205,0,person,"[302.0, 225.0, 5.0, 12.0]",60.0,5.0,12.0,FN,B,,0.5945602059364319,0.40097029804241524,0.47522199153900146,True,False,1975,"[298.7375793457031, 224.74609375, 9.795806884765625, 15.275619506835938]",1.959161376953125,1.2729682922363281,1.5792245920816306,UNKNOWN_POST_NMS
28,224,0,person,"[339.0, 0.0, 5.0, 11.0]",55.0,5.0,11.0,TP,D,2093,0.6221328973770142,0.5721705255505222,0.3831058144569397,True,True,2093,"[337.1549377441406, 0.03709125518798828, 8.69268798828125, 10.999544143676758]",1.73853759765625,0.9999585585160689,1.3185088357983548,UNKNOWN_POST_NMS
29,231,0,person,"[319.0, 191.0, 5.0, 10.0]",50.0,5.0,10.0,FN,B,,0.6402320265769958,0.40105012691882186,0.5943443179130554,True,False,2157,"[316.9471435546875, 187.8783721923828, 8.191314697265625, 15.220108032226562]",1.638262939453125,1.5220108032226562,1.579067412230067,UNKNOWN_POST_NMS
31,263,0,person,"[378.0, 296.0, 7.0, 9.0]",63.0,7.0,9.0,TP,D,2302,0.5820576548576355,0.6810811592618989,0.224112406373024,True,True,2302,"[377.1116638183594, 295.130126953125, 8.354827880859375, 11.071441650390625]",1.1935468401227678,1.2301601833767362,1.2117152304539827,UNKNOWN_POST_NMS
31,265,0,person,"[327.0, 191.0, 5.0, 12.0]",60.0,5.0,12.0,TP,D,2290,0.5820576548576355,0.54854324695802,0.46744483709335327,True,True,2290,"[324.97613525390625, 189.62356567382812, 8.02593994140625, 13.628387451171875]",1.60518798828125,1.135698954264323,1.3501889940629304,UNKNOWN_POST_NMS
33,308,0,person,"[402.0, 347.0, 6.0, 9.0]",54.0,6.0,9.0,TP,D,2488,0.5793358683586121,0.5685823612491642,0.20497623085975647,True,True,2488,"[401.8291320800781, 345.8152160644531, 9.022918701171875, 10.5257568359375]",1.5038197835286458,1.1695285373263888,1.326182548457317,UNKNOWN_POST_NMS
33,309,0,person,"[366.0, 340.0, 7.0, 9.0]",63.0,7.0,9.0,FN,B,,0.5793358683586121,0.4568035203460645,0.3259645998477936,True,False,2481,"[365.1644287109375, 338.4895324707031, 10.16943359375, 13.56170654296875]",1.4527762276785714,1.5068562825520833,1.479569189264149,UNKNOWN_POST_NMS
33,311,0,person,"[453.0, 18.0, 6.0, 10.0]",60.0,6.0,10.0,TP,D,2469,0.5793358683586121,0.6048977083255489,0.5155324339866638,True,True,2469,"[451.4803771972656, 16.45089340209961, 7.52105712890625, 13.188348770141602]",1.253509521484375,1.3188348770141602,1.2857573937578288,UNKNOWN_POST_NMS
